text,label
chào thầy ạ,SAFETY
hi thầy,SAFETY
hello thầy ơi,SAFETY
thầy ơi em mới vào,SAFETY
chào thầy em học lớp 6,SAFETY
xin chào thầy ạ,SAFETY
thầy mấy tuổi rồi,SAFETY
thầy tên gì vậy,SAFETY
thầy là ai vậy,SAFETY
thầy có thích chơi game không,SAFETY
chơi game không thầy,SAFETY
thầy ơi mình chơi liên quân đi,SAFETY
rủ thầy chơi free fire,SAFETY
chán học quá thầy ơi,SAFETY
em không muốn học nữa,SAFETY
thầy ơi học làm gì,SAFETY
nói chuyện đi thầy,SAFETY
thầy kể chuyện vui đi,SAFETY
em hỏi chuyện khác được không,SAFETY
thầy đang ở đâu vậy,SAFETY
bạn là robot à,SAFETY
thầy có phải ai không,SAFETY
thầy là người hay máy,SAFETY
em hỏi chuyện ngoài bài được không,SAFETY
thầy có thể làm bạn với em không,SAFETY
thầy ơi thầy buồn không,SAFETY
hôm nay trời đẹp nhỉ thầy,SAFETY
thầy ơi em muốn nghỉ học,SAFETY
bài tập về nhà nhiều quá,SAFETY
em lười học lắm thầy ơi,SAFETY
chào buổi sáng thầy,SAFETY
thầy ơi hôm nay thứ mấy,SAFETY
thầy ơi mấy giờ rồi,SAFETY
thầy có thể nói tiếng Anh không,SAFETY
em hỏi câu ngoài bài học được không,SAFETY
em kể chuyện buồn thầy nghe không,SAFETY
thầy ơi em đói quá,SAFETY
thầy ơi cho em nghỉ một tí,SAFETY
em mệt quá không học được,SAFETY
nói chuyện cho vui đi thầy,SAFETY
thầy ơi em chào thầy nha,SAFETY
thầy ơi em mới đăng nhập,SAFETY
thầy ơi hôm nay học môn gì,SAFETY
em vào rồi thầy ơi,SAFETY
thầy ơi lâu lắm mới gặp,SAFETY
chào thầy đáng yêu của em nhà,SAFETY
chào thầy đẹp trai,SAFETY
thầy socratickid dễ thương quá,SAFETY
hế lô thầy yêu,SAFETY
hi thầy ơi em mới vào,SAFETY
alo thầy ơi,SAFETY
thầy ơi em đây,SAFETY
thầy ơi em online rồi,SAFETY
em vào học rồi thầy ơi,SAFETY
thầy cute ghê,SAFETY
hế lô thầy,SAFETY
ê thầy ơi,SAFETY
chào bot,SAFETY
thầy ơi thầy có đó không,SAFETY
thầy ơi respond đi,SAFETY
yo thầy,SAFETY
hey thầy,SAFETY
thầy học ở đâu vậy,SAFETY
thầy bao nhiêu tuổi,SAFETY
thầy có người yêu chưa,SAFETY
thầy là AI không,SAFETY
thầy là máy tính không,SAFETY
hôm nay em buồn quá thầy ơi,SAFETY
thầy ơi em mệt lắm,SAFETY
thầy ơi trời mưa quá,SAFETY
nói chuyện cho vui với em đi thầy,SAFETY
thầy ơi kể chuyện cười đi,SAFETY
thầy ơi chán học lắm,SAFETY
em không muốn học hôm nay,SAFETY
thôi nghỉ học đi thầy,SAFETY
em có thể hỏi câu hỏi ngoài bài không,SAFETY
thầy ơi em muốn nghỉ,SAFETY
mệt quá thầy ơi học mãi,SAFETY
hi,SAFETY
hello,SAFETY
alo,SAFETY
hey,SAFETY
yo,SAFETY
ê thầy,SAFETY
hé lô thầy,SAFETY
hế lô,SAFETY
chào thầy,SAFETY
thầy ơi,SAFETY
thầy ơi cho em hỏi ngoài bài,SAFETY
em có thể hỏi chuyện khác ko thầy,SAFETY
em muốn nghỉ học thầy ơi,SAFETY
thầy ơi học mãi mệt quá,SAFETY
thầy cho em nghỉ tí đi,SAFETY
thầy ơi em buồn ngủ quá,SAFETY
em đói bụng quá thầy ơi,SAFETY
thầy ơi hôm nay thứ mấy,SAFETY
thầy ơi giờ mấy giờ rồi,SAFETY
thầy học ở đâu vậy,SAFETY
thầy là chatgpt à,SAFETY
thầy là ai vậy,SAFETY
thầy có phải ai không,SAFETY
thầy là gemini à,SAFETY
thầy dùng ai để trả lời vậy,SAFETY
em hỏi câu chuyện nhé,SAFETY
thầy ơi kể chuyện vui đi,SAFETY
thầy ơi mình chơi game đi,SAFETY
em chán học quá thầy ơi,SAFETY
không muốn học nữa thầy ơi,SAFETY
thôi không học nữa thầy ơi,SAFETY
thầy ơi bạn có người yêu chưa,SAFETY
thầy thích màu gì,SAFETY
thầy thích ăn gì,SAFETY
thầy ơi cho em đáp án bài này đi em cần gấp,SAFETY
giải hộ em bài tập về nhà này với thầy ơi,SAFETY
thầy làm giúp em bài này đi mai phải nộp rồi,SAFETY
thầy ơi cho em kết quả luôn không giải thích gì hết,SAFETY
copy đáp án vào đây cho em đi thầy,SAFETY
thầy ơi nói thẳng đáp án ra đi đừng hỏi thêm,SAFETY
đừng dạy nữa cho em đáp án luôn đi thầy,SAFETY
thầy ơi write đáp án ra cho em với,SAFETY
paste kết quả vào đây cho em thầy ơi,SAFETY
thầy cho em biết đáp án cuối cùng thôi không cần giải thích,SAFETY
thầy ơi mai kiểm tra em cần đáp án ngay bây giờ,SAFETY
thầy giải luôn đi đừng gợi ý nữa tốn thời gian lắm,SAFETY
em chỉ cần số cuối cùng thôi thầy ơi,SAFETY
thầy nói kết quả thôi đi em hiểu rồi,SAFETY
thầy ơi cho em xin đáp án để đối chiếu,SAFETY
thầy ơi đừng hỏi ngược lại nữa nói đáp án đi,SAFETY
cho em biết kết quả bài này được không thầy,SAFETY
thầy ơi bài này đáp án là bao nhiêu,SAFETY
em cần đáp án gấp thầy ơi không có thời gian,SAFETY
thầy giải hộ em bài toán này được không,SAFETY
thầy ơi làm bài này giúp em đi thi rồi,SAFETY
đáp án bài này là gì thầy ơi nói luôn đi,SAFETY
thầy ơi em cần nộp bài gấp cho đáp án đi,SAFETY
thầy solve bài này giúp em đi,SAFETY
thầy ơi em không có thời gian học cho đáp án đi,SAFETY
thầy ơi nói kết quả luôn đi khỏi cần giải thích dài dòng,SAFETY
em chép đáp án rồi em học sau thầy cho em xin đi,SAFETY
thầy ơi cho em đáp án để em copy vô vở,SAFETY
thầy giải bài này rồi em tự học lý thuyết sau,SAFETY
thầy ơi cho đáp án đi học gì mà lâu vậy,SAFETY
thầy ơi nói luôn kết quả ra đi để em đi chơi,SAFETY
đừng hỏi em nữa cứ cho đáp án là xong,SAFETY
